cosmology	cmb-planck	systematiclogs/cmb-cosmology/ultranest-safe/
toy	eggbox-2d	systematiclogs/eggbox-2d/ultranest-safe/
toy	loggamma-2d	systematiclogs/loggamma-2d/ultranest-safe/
toy	loggamma-10d	systematiclogs/loggamma-10d/ultranest-safe/
toy	loggamma-30d	systematiclogs/loggamma-30d/ultranest-fast-fixed4d/
toy	rosenbrock-2d	systematiclogs/rosenbrock-2d/ultranest-safe/
toy	rosenbrock-20d	systematiclogs/rosenbrock-20d/ultranest-safe/
#toy	rosenbrock-50d	systematiclogs/rosenbrock-50d/ultranest-fast-fixed4d/
toy	corrfunnel-2d	systematiclogs/corrfunnel4-2d/ultranest-safe/
toy	corrfunnel-10d	systematiclogs/corrfunnel4-10d/ultranest-safe/
#toy	corrfunnel-50d	systematiclogs/corrfunnel4-50d/ultranest-fast-fixed4d/
toy	spikeslab-1000-2d-4000	systematiclogs/spikeslab1000-2d-4000/ultranest-safe
toy	spikeslab-1000-2d-400	systematiclogs/spikeslab1000-2d-400/ultranest-safe
toy	spikeslab-1000-2d-40-off0.1	systematiclogs/spikeslab1000-2d-40-off0.1/ultranest-safe
toy	spikeslab-1000-2d-40-off0.2	systematiclogs/spikeslab1000-2d-40-off0.2/ultranest-safe
toy	spikeslab-1000-2d-40-off0.4	systematiclogs/spikeslab1000-2d-40-off0.4/ultranest-safe
toy	spikeslab-1000-2d-40-off10	systematiclogs/spikeslab1000-2d-40-off10/ultranest-safe
toy	spikeslab-1000-2d-40-off1	systematiclogs/spikeslab1000-2d-40-off1/ultranest-safe
toy	spikeslab-1000-2d-40-off2	systematiclogs/spikeslab1000-2d-40-off2/ultranest-safe
toy	spikeslab-1000-2d-40-off4	systematiclogs/spikeslab1000-2d-40-off4/ultranest-safe
toy	spikeslab-1000-2d-40	systematiclogs/spikeslab1000-2d-40/ultranest-safe
toy	spikeslab-1000-2d-4	systematiclogs/spikeslab1000-2d-4/ultranest-safe
toy	spikeslab-1-2d-4000	systematiclogs/spikeslab1-2d-4000/ultranest-safe
toy	spikeslab-1-2d-400	systematiclogs/spikeslab1-2d-400/ultranest-safe
toy	spikeslab-1-2d-40-off10	systematiclogs/spikeslab1-2d-40-off10/ultranest-safe
toy	spikeslab-1-2d-40-off1	systematiclogs/spikeslab1-2d-40-off1/ultranest-safe
toy	spikeslab-1-2d-40-off2	systematiclogs/spikeslab1-2d-40-off2/ultranest-safe
toy	spikeslab-1-2d-40-off4	systematiclogs/spikeslab1-2d-40-off4/ultranest-safe
toy	spikeslab-1-2d-40	systematiclogs/spikeslab1-2d-40/ultranest-safe
toy	spikeslab-1-2d-4	systematiclogs/spikeslab1-2d-4/ultranest-safe
toy	spikeslab-40-2d-4000	systematiclogs/spikeslab40-2d-4000/ultranest-safe
toy	spikeslab-40-2d-400	systematiclogs/spikeslab40-2d-400/ultranest-safe
toy	spikeslab-40-2d-40-off10	systematiclogs/spikeslab40-2d-40-off10/ultranest-safe
toy	spikeslab-40-2d-40-off1	systematiclogs/spikeslab40-2d-40-off1/ultranest-safe
toy	spikeslab-40-2d-40-off2	systematiclogs/spikeslab40-2d-40-off2/ultranest-safe
toy	spikeslab-40-2d-40-off4	systematiclogs/spikeslab40-2d-40-off4/ultranest-safe
toy	spikeslab-40-2d-40	systematiclogs/spikeslab40-2d-40/ultranest-safe
toy	spikeslab-40-2d-4	systematiclogs/spikeslab40-2d-4/ultranest-safe
